Date,Consumption [kWh],Grid Organi lbc (L1) [kWh],Grid Organi lbc (L2) [kWh],Grid Organi lbc (L3) [kWh],Chargers (L1) [kWh],Chargers (L2) [kWh],Chargers (L3) [kWh],Solar (L1) [kWh],Solar (L2) [kWh],Solar (L3) [kWh],Chargers achteraan (L1) [kWh],Chargers achteraan (L2) [kWh],Chargers achteraan (L3) [kWh]
2025-02-27 15:00:00,"26,156","8,645","7,227","6,697","0,279","0,033","0,022","1,188","1,203","1,195","0,024","0,023","0,023"
2025-02-27 14:00:00,"42,554","14,756","11,709","10,197","6,726","5,209","2,959","1,95","1,977","1,963","0,021","0,027","0,024"
2025-02-27 13:00:00,"56,515","17,838","15,148","11,101","8,584","8,329","4,804","4,115","4,172","4,142","2,16","2,104","2,129"
2025-02-27 12:00:00,"60,104","17,349","18,305","14,484","6,933","9,612","5,973","3,302","3,345","3,32","3,703","3,602","3,642"
2025-02-27 11:00:00,"82,158","24,903","25,707","20,964","11,034","14,642","9,645","3,509","3,55","3,527","6,841","6,709","6,745"
2025-02-27 10:00:00,"111,072","37,048","37,883","31,498","13,217","16,602","9,895","1,539","1,557","1,548","15,217","14,871","15,314"
2025-02-27 09:00:00,"140,512","48,897","43,253","42,481","2,879","3,095","2,578","1,948","1,974","1,959","37,752","33,987","33,939"
2025-02-27 08:00:00,"110,218","41,607","34,161","32,628","3,668","1,991","1,697","0,603","0,61","0,609","28,776","24,871","24,869"
2025-02-27 07:00:00,"32,895","15,09","9,303","8,403","4,243","1,635","1,624","0,034","0,03","0,035","1,995","0,932","0,942"
2025-02-27 06:00:00,"20,248","6,939","7,059","6,257","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-27 05:00:00,"17,179","5,973","5,997","5,216","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-27 04:00:00,"16,112","5,583","5,65","4,886","0,036","0,033","0,02",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-27 03:00:00,"16,212","5,589","5,68","4,95","0,036","0,033","0,021",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-27 02:00:00,"16,252","5,697","5,668","4,895","0,036","0,034","0,021",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-27 01:00:00,"16,187","5,487","5,739","4,968","0,036","0,033","0,02",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-27 00:00:00,"16,408","5,522","5,949","4,944","0,036","0,033","0,02",0,"-0,006","-0,001","0,024","0,023","0,024"
2025-02-26 23:00:00,"16,129","5,495","5,708","4,932","0,036","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-02-26 22:00:00,"16,299","5,623","5,719","4,965","0,036","0,032","0,02",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-02-26 21:00:00,"16,131","5,599","5,636","4,903","0,036","0,032","0,021",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-02-26 20:00:00,"16,156","5,592","5,621","4,951","0,037","0,033","0,02",0,"-0,006","-0,001","0,025","0,023","0,024"
2025-02-26 19:00:00,"16,479","5,949","5,654","4,884","0,037","0,032","0,021",0,"-0,006","-0,001","0,025","0,022","0,025"
2025-02-26 18:00:00,"18,168","6,212","6,326","5,62","0,037","0,033","0,021","0,005",0,"0,005","0,025","0,023","0,025"
2025-02-26 17:00:00,"23,133","7,885","8,097","6,808","0,807","0,798","0,791","0,114","0,112","0,117","0,045","0,044","0,046"
2025-02-26 16:00:00,"52,126","17,697","17,534","14,512","3,504","3,525","2,99","0,79","0,799","0,796","5,964","5,938","5,93"
2025-02-26 15:00:00,"74,917","24,941","25,997","18,552","9,431","11,254","6,449","1,799","1,818","1,808","7,626","7,595","7,581"
2025-02-26 14:00:00,"77,907","24,797","27,686","18,124","9,648","13,416","6,406","2,421","2,446","2,432","7,601","7,567","7,555"
2025-02-26 13:00:00,"66,424","17,649","20,801","13,541","8,518","12,332","7,805","4,782","4,838","4,813","3,513","3,511","3,492"
